Name;FRANCE CAC 40 - PRICE INDEX
19/07/1988;1275.52
20/07/1988;1290.69
21/07/1988;1299.84
22/07/1988;1300.54
25/07/1988;1296.16
26/07/1988;1308.26
27/07/1988;1308.93
28/07/1988;1305.6
29/07/1988;1320.55
01/08/1988;1328.8
02/08/1988;1331.93
03/08/1988;1327.79
04/08/1988;1326.98
05/08/1988;1324.48
08/08/1988;1321.32
09/08/1988;1323.15
10/08/1988;1305.94
11/08/1988;1292.18
12/08/1988;1295.32
15/08/1988;1295.32
16/08/1988;1285.91
17/08/1988;1303.51
18/08/1988;1303.88
19/08/1988;1310.02
22/08/1988;1309.21
23/08/1988;1293.81
24/08/1988;1306.76
25/08/1988;1286.42
26/08/1988;1281.27
29/08/1988;1280.55
30/08/1988;1286.36
31/08/1988;1292.81
01/09/1988;1277.76
02/09/1988;1286.12
05/09/1988;1290.34
06/09/1988;1290.06
07/09/1988;1306.59
08/09/1988;1303.66
09/09/1988;1301.6
12/09/1988;1312.61
13/09/1988;1335.18
14/09/1988;1369.75
15/09/1988;1364.81
16/09/1988;1365.21
19/09/1988;1366.19
20/09/1988;1365.75
21/09/1988;1390.01
22/09/1988;1395.87
23/09/1988;1387.59
26/09/1988;1403.55
27/09/1988;1393.83
28/09/1988;1399.04
29/09/1988;1417.02
30/09/1988;1418.13
03/10/1988;1422.58
04/10/1988;1432.02
05/10/1988;1433.49
06/10/1988;1436.2
07/10/1988;1439.31
10/10/1988;1438.98
11/10/1988;1412.26
12/10/1988;1408.57
13/10/1988;1428.2
14/10/1988;1437.36
17/10/1988;1417.88
18/10/1988;1429.05
19/10/1988;1452.31
20/10/1988;1451.22
21/10/1988;1457.19
24/10/1988;1464.34
25/10/1988;1468.67
26/10/1988;1474.32
27/10/1988;1479.23
28/10/1988;1496.83
31/10/1988;1496.83
01/11/1988;1496.83
02/11/1988;1504.8
03/11/1988;1501.95
04/11/1988;1505.24
07/11/1988;1484.87
08/11/1988;1496.16
09/11/1988;1487.64
10/11/1988;1492.53
11/11/1988;1492.53
14/11/1988;1471.32
15/11/1988;1468.88
16/11/1988;1480.58
17/11/1988;1472.95
18/11/1988;1472.49
21/11/1988;1458.12
22/11/1988;1455.7
23/11/1988;1471.02
24/11/1988;1479.43
25/11/1988;1472.96
28/11/1988;1468.13
29/11/1988;1464.82
30/11/1988;1478.2
01/12/1988;1474.71
02/12/1988;1468.25
05/12/1988;1463.89
06/12/1988;1468.93
07/12/1988;1477.12
08/12/1988;1480.17
09/12/1988;1497.19
12/12/1988;1497.81
13/12/1988;1486.92
14/12/1988;1484.75
15/12/1988;1472.21
16/12/1988;1476.63
19/12/1988;1479.17
20/12/1988;1498.71
21/12/1988;1505.32
22/12/1988;1528.03
23/12/1988;1539.99
26/12/1988;1539.99
27/12/1988;1546.79
28/12/1988;1545.7
29/12/1988;1559.05
30/12/1988;1573.94
02/01/1989;1573.94
03/01/1989;1570.77
04/01/1989;1595.37
05/01/1989;1627.7
06/01/1989;1642.99
09/01/1989;1629.84
10/01/1989;1631.73
11/01/1989;1619.35
12/01/1989;1647.4
13/01/1989;1643.23
16/01/1989;1643.74
17/01/1989;1636.1
18/01/1989;1628.93
19/01/1989;1643.91
20/01/1989;1643.87
23/01/1989;1631.05
24/01/1989;1644.85
25/01/1989;1679.72
26/01/1989;1667.42
27/01/1989;1677.32
30/01/1989;1665.46
31/01/1989;1654.99
01/02/1989;1657.69
02/02/1989;1683.26
03/02/1989;1693.48
06/02/1989;1672.12
07/02/1989;1677.14
08/02/1989;1702.09
09/02/1989;1693.8
10/02/1989;1690.15
13/02/1989;1650.94
14/02/1989;1644.15
15/02/1989;1615.32
16/02/1989;1627.22
17/02/1989;1612.73
20/02/1989;1632.82
21/02/1989;1645.5
22/02/1989;1624.95
23/02/1989;1581.62
24/02/1989;1574.17
27/02/1989;1541.01
28/02/1989;1580.07
01/03/1989;1574.67
02/03/1989;1583.01
03/03/1989;1608.15
06/03/1989;1627.02
07/03/1989;1617.04
08/03/1989;1607.37
09/03/1989;1612.13
10/03/1989;1602.38
13/03/1989;1604.85
14/03/1989;1619
15/03/1989;1632.62
16/03/1989;1638.6
17/03/1989;1614.04
20/03/1989;1603.37
21/03/1989;1622.87
22/03/1989;1621.85
23/03/1989;1624.73
24/03/1989;1624.73
27/03/1989;1624.73
28/03/1989;1635.38
29/03/1989;1643.9
30/03/1989;1640.2
31/03/1989;1644.81
03/04/1989;1655.77
04/04/1989;1666.5
05/04/1989;1663.82
06/04/1989;1655.69
07/04/1989;1650.06
10/04/1989;1658.64
11/04/1989;1666.19
12/04/1989;1674.46
13/04/1989;1667.16
14/04/1989;1682.96
17/04/1989;1692.4
18/04/1989;1701.18
19/04/1989;1706.65
20/04/1989;1695.39
21/04/1989;1700.44
24/04/1989;1698.67
25/04/1989;1688.37
26/04/1989;1667.17
27/04/1989;1673.87
28/04/1989;1680.53
01/05/1989;1680.53
02/05/1989;1679.85
03/05/1989;1668.48
04/05/1989;1668.48
05/05/1989;1676.79
08/05/1989;1676.79
09/05/1989;1672.61
10/05/1989;1660.93
11/05/1989;1655.74
12/05/1989;1674.27
15/05/1989;1674.27
16/05/1989;1666.79
17/05/1989;1655.9
18/05/1989;1658.02
19/05/1989;1674.77
22/05/1989;1678.94
23/05/1989;1677.19
24/05/1989;1689.6
25/05/1989;1716.15
26/05/1989;1720.92
29/05/1989;1720.81
30/05/1989;1722.87
31/05/1989;1729.65
01/06/1989;1738.02
02/06/1989;1764.35
05/06/1989;1764.63
06/06/1989;1755.56
07/06/1989;1755.16
08/06/1989;1760.73
09/06/1989;1758.3
12/06/1989;1751.04
13/06/1989;1749.81
14/06/1989;1745.65
15/06/1989;1739.74
16/06/1989;1722.28
19/06/1989;1718.74
20/06/1989;1739.56
21/06/1989;1737.59
22/06/1989;1739.04
23/06/1989;1760.36
26/06/1989;1760.1
27/06/1989;1758.48
28/06/1989;1752.4
29/06/1989;1731.99
30/06/1989;1727.86
03/07/1989;1737.45
04/07/1989;1741.59
05/07/1989;1737.16
06/07/1989;1737.57
07/07/1989;1729.09
10/07/1989;1728.31
11/07/1989;1754.46
12/07/1989;1749.47
13/07/1989;1755.18
14/07/1989;1755.18
17/07/1989;1766.42
18/07/1989;1757.4
19/07/1989;1765.65
20/07/1989;1773.7
21/07/1989;1781.66
24/07/1989;1785.48
25/07/1989;1791.15
26/07/1989;1791.83
27/07/1989;1815.85
28/07/1989;1824.24
31/07/1989;1814.19
01/08/1989;1829.63
02/08/1989;1828.64
03/08/1989;1824.13
04/08/1989;1816.92
07/08/1989;1804.69
08/08/1989;1817.8
09/08/1989;1820.85
10/08/1989;1818.46
11/08/1989;1828.31
14/08/1989;1828.31
15/08/1989;1828.31
16/08/1989;1828.12
17/08/1989;1825.86
18/08/1989;1814.68
21/08/1989;1815.5
22/08/1989;1807.15
23/08/1989;1817
24/08/1989;1845.53
25/08/1989;1866.03
28/08/1989;1853.98
29/08/1989;1855.19
30/08/1989;1859.71
31/08/1989;1875.92
01/09/1989;1885.2
04/09/1989;1898.46
05/09/1989;1896.42
06/09/1989;1891.39
07/09/1989;1909.81
08/09/1989;1909.34
11/09/1989;1901.46
12/09/1989;1899.72
13/09/1989;1901.64
14/09/1989;1889.62
15/09/1989;1892.17
18/09/1989;1892.71
19/09/1989;1894.44
20/09/1989;1895.11
21/09/1989;1897.37
22/09/1989;1914.05
25/09/1989;1906.46
26/09/1989;1919.69
27/09/1989;1930.61
28/09/1989;1932.28
29/09/1989;1906.12
02/10/1989;1876.24
03/10/1989;1902.72
04/10/1989;1906.04
05/10/1989;1918.41
06/10/1989;1942.42
09/10/1989;1942.54
10/10/1989;1961.74
11/10/1989;1927.95
12/10/1989;1932.8
13/10/1989;1931.27
16/10/1989;1809.81
17/10/1989;1805.69
18/10/1989;1828.13
19/10/1989;1875.05
20/10/1989;1864.32
23/10/1989;1865.54
24/10/1989;1832.88
25/10/1989;1826.81
26/10/1989;1815.99
27/10/1989;1768.27
30/10/1989;1804.99
31/10/1989;1819.51
01/11/1989;1819.51
02/11/1989;1820.58
03/11/1989;1808.04
06/11/1989;1782.92
07/11/1989;1770.97
08/11/1989;1784.55
09/11/1989;1801.09
10/11/1989;1820.33
13/11/1989;1819.51
14/11/1989;1814.52
15/11/1989;1816.63
16/11/1989;1830.01
17/11/1989;1837.66
20/11/1989;1834.5
21/11/1989;1825.21
22/11/1989;1837.19
23/11/1989;1843.56
24/11/1989;1858.09
27/11/1989;1863.81
28/11/1989;1860.24
29/11/1989;1872.3
30/11/1989;1890.43
01/12/1989;1919.72
04/12/1989;1939.09
05/12/1989;1939.26
06/12/1989;1960.29
07/12/1989;1965.63
08/12/1989;1979.29
11/12/1989;1971.09
12/12/1989;1972.01
13/12/1989;1960.42
14/12/1989;1954.62
15/12/1989;1949.42
18/12/1989;1945.74
19/12/1989;1932.02
20/12/1989;1951.31
21/12/1989;1976.83
22/12/1989;1981.37
25/12/1989;1981.37
26/12/1989;1977.49
27/12/1989;1985.66
28/12/1989;1998.83
29/12/1989;2001.08
01/01/1990;2001.08
02/01/1990;1988.85
03/01/1990;1979.89
04/01/1990;2006.42
05/01/1990;1994.36
08/01/1990;1968.95
09/01/1990;1970.28
10/01/1990;1970.38
11/01/1990;1992.89
12/01/1990;1968.65
15/01/1990;1962.89
16/01/1990;1935.21
17/01/1990;1953.14
18/01/1990;1934.72
19/01/1990;1925.95
22/01/1990;1915.82
23/01/1990;1912.36
24/01/1990;1881.73
25/01/1990;1893.23
26/01/1990;1886.75
29/01/1990;1904.71
30/01/1990;1892.03
31/01/1990;1882.88
01/02/1990;1895.53
02/02/1990;1924.7
05/02/1990;1926.14
06/02/1990;1916.33
07/02/1990;1895.24
08/02/1990;1905.51
09/02/1990;1898.25
12/02/1990;1867.4
13/02/1990;1845.43
14/02/1990;1853.99
15/02/1990;1856.86
16/02/1990;1871.12
19/02/1990;1838.03
20/02/1990;1820.16
21/02/1990;1803.79
22/02/1990;1836.91
23/02/1990;1803.62
26/02/1990;1804.1
27/02/1990;1825.38
28/02/1990;1849.68
01/03/1990;1832.44
02/03/1990;1860.48
05/03/1990;1874.43
06/03/1990;1872.3
07/03/1990;1880.57
08/03/1990;1917.99
09/03/1990;1921.11
12/03/1990;1912.59
13/03/1990;1924.3
14/03/1990;1946.37
15/03/1990;1964.47
16/03/1990;1958.82
19/03/1990;1936.96
20/03/1990;1925.39
21/03/1990;1937.18
22/03/1990;1914.11
23/03/1990;1937.4
26/03/1990;1964.16
27/03/1990;1945.96
28/03/1990;1939.33
29/03/1990;1947.23
30/03/1990;1971.79
02/04/1990;1947.18
03/04/1990;1985.55
04/04/1990;2001.49
05/04/1990;2028.06
06/04/1990;2069.89
09/04/1990;2083.9
10/04/1990;2075.38
11/04/1990;2103.1
12/04/1990;2116.66
13/04/1990;2116.66
16/04/1990;2116.66
17/04/1990;2126.34
18/04/1990;2098.68
19/04/1990;2097.12
20/04/1990;2129.32
23/04/1990;2089.77
24/04/1990;2101.4
25/04/1990;2091.57
26/04/1990;2072.16
27/04/1990;2066.27
30/04/1990;2046.46
01/05/1990;2046.46
02/05/1990;2066.03
03/05/1990;2098.95
04/05/1990;2102.64
07/05/1990;2119.83
08/05/1990;2119.83
09/05/1990;2103.69
10/05/1990;2104.56
11/05/1990;2091.85
14/05/1990;2090.14
15/05/1990;2070.67
16/05/1990;2070.7
17/05/1990;2103.94
18/05/1990;2100.17
21/05/1990;2092.21
22/05/1990;2115
23/05/1990;2123.34
24/05/1990;2123.34
25/05/1990;2111.9
28/05/1990;2114.39
29/05/1990;2123.09
30/05/1990;2120.8
31/05/1990;2107.51
01/06/1990;2087.6
04/06/1990;2087.6
05/06/1990;2069.43
06/06/1990;2045.43
07/06/1990;2050.45
08/06/1990;2021.41
11/06/1990;2002.38
12/06/1990;2005.82
13/06/1990;2025.59
14/06/1990;2028.08
15/06/1990;2011.87
18/06/1990;1988.33
19/06/1990;2000.14
20/06/1990;2003.66
